alarm_id,device_id,start_timestamp,end_timestamp
11,55,0,0
12,260,23,23
5,107,32,32
3,107,32,32
10,107,32,32
4,107,34,34
3,377,36,36
3,70,67,67
3,70,69,69
0,247,69,69
1,247,69,69
4,70,70,70
1,247,93,93
0,247,93,93
13,269,100,100
14,260,103,103
0,55,109,109
7,72,126,126
8,72,126,126
7,326,134,134
8,326,134,134
8,143,140,140
7,148,140,140
7,143,140,140
8,148,140,140
2,394,141,141
0,55,150,150
11,55,156,156
14,55,163,163
12,55,163,163
2,243,195,195
2,184,196,196
5,76,196,196
2,76,197,197
0,247,216,216
15,247,216,216
1,247,216,216
3,380,219,219
16,258,224,224
6,258,226,226
11,339,226,226
4,107,246,246
0,247,246,246
1,247,246,246
2,260,248,248
0,261,289,289
1,261,290,290
2,198,306,306
0,261,315,315
3,377,343,343
0,90,349,349
9,60,349,349
1,90,349,349
11,90,349,349
1,60,349,349
11,60,349,349
9,90,349,349
5,107,350,350
3,107,351,351
9,90,351,351
12,90,352,352
14,60,358,358
12,60,358,358
0,55,360,360
12,260,363,363
14,260,363,363
3,70,376,376
11,60,376,376
0,261,377,377
1,261,378,378
0,247,448,448
1,60,448,448
11,90,448,448
0,60,448,448
1,90,448,448
15,247,449,449
0,247,449,449
9,60,449,449
1,247,449,449
14,60,459,459
12,60,459,459
0,60,463,463
9,60,464,464
2,394,474,474
0,60,478,478
9,60,479,479
14,60,489,489
12,60,489,489
2,184,502,502
2,243,520,520
5,76,521,521
2,76,522,522
4,76,531,531
11,90,534,534
0,60,534,534
1,60,535,535
9,60,535,535
1,90,535,535
12,60,539,539
14,60,539,539
13,250,552,1130
0,261,554,554
1,261,555,555
4,76,567,567
13,250,586,586
0,90,605,605
1,60,605,605
11,60,605,605
1,90,606,606
12,90,614,614
14,90,614,614
2,198,637,637
5,107,659,659
10,107,659,659
3,107,660,660
4,107,661,661
3,377,663,663
0,247,673,673
1,247,674,674
0,247,674,674
15,247,674,674
3,70,695,695
4,70,696,696
